address,price,lat,lon,property_id,rooms,area,cafe_count,cafe_present,restaurant_count,restaurant_present,bar_count,bar_present,pub_count,pub_present,fast_food_count,fast_food_present,school_count,school_present,university_count,university_present,library_count,library_present,hospital_count,hospital_present,clinic_count,clinic_present,pharmacy_count,pharmacy_present,bank_count,bank_present,atm_count,atm_present,bus_station_count,bus_station_present,parking_count,parking_present,total_amenities
"Weidmannstrasse 13, 8046 Zürich",,47.42325975,8.502611041329322,4001972648,4.5,115m²,11,1,38,1,3,1,0,0,15,1,2,1,0,0,3,1,0,0,0,0,5,1,2,1,7,1,0,0,22,1,108
"Bavurtga 9 (Altbau), 7402 Bonaduz",,,,4001756784,4.5,115m²,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ahornweg 23, 2542 Pieterlen",,47.17285930609854,7.338240061537902,4001669568,4.5,115m²,5,1,38,1,3,1,5,1,0,0,2,1,0,0,3,1,0,0,1,1,2,1,2,1,5,1,0,0,7,1,73
"Via Sasso Corbaro 23, 6593 Cadenazzo",,46.15130057952928,8.944419531213565,4001668530,4.5,115m²,5,1,13,1,4,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,3,1,2,1,1,1,0,0,6,1,38
"Niklaus Konrad-Strasse 4, 4500 Solothurn",,47.204513902108786,7.539104019684887,4002053939,4.5,115m²,26,1,131,1,19,1,10,1,29,1,4,1,0,0,6,1,0,0,0,0,6,1,19,1,21,1,0,0,30,1,301
"Seeblickstr. 12, 9010 St. Gallen",,47.44059395,9.377784349999999,4002039822,4.5,115m²,45,1,149,1,45,1,6,1,30,1,12,1,0,0,10,1,0,0,5,1,9,1,16,1,24,1,1,1,61,1,413
"Bellerivestrasse 49, 8008 Zürich",,47.3566457,8.551761367777775,4002033013,4.5,115m²,64,1,170,1,22,1,8,1,31,1,12,1,0,0,11,1,0,0,6,1,20,1,26,1,24,1,0,0,21,1,415
"Ludwigstr. 5, 9010 St. Gallen",,47.43990895,9.377419517139657,4002028634,4.5,115m²,45,1,151,1,46,1,6,1,30,1,12,1,0,0,10,1,0,0,5,1,9,1,17,1,27,1,1,1,60,1,419
"Via G. Brentani 16, 6900 Lugano",,,,4002028631,4.5,115m²,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Via G. Brentani 16, 6900 Lugano",,,,4002028630,4.5,115m²,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guggistrasse 14 A, 6005 Luzern",,47.0442778,8.2996906,4002006119,5.5,260m²,57,1,188,1,48,1,15,1,40,1,7,1,1,1,4,1,0,0,1,1,14,1,18,1,21,1,1,1,197,1,612
"Giessenplatz 8, 8600 Dübendorf",,47.4007256,8.613221243516005,4001991943,5.5,260m²,25,1,82,1,8,1,1,1,31,1,9,1,0,0,4,1,0,0,2,1,10,1,9,1,25,1,0,0,130,1,336
"Via Sasso Corbaro 19, 6593 Cadenazzo",,46.15130057952928,8.944419531213565,4001979018,5.5,260m²,5,1,13,1,4,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,3,1,2,1,1,1,0,0,6,1,38
"Chemin des Buclines, 1223 Cologny",,46.20714761985418,6.1937325206598555,4001950977,5.5,260m²,11,1,26,1,2,1,1,1,5,1,1,1,2,1,2,1,1,1,0,0,16,1,6,1,2,1,0,0,12,1,87
"Erlenmattstr. 67, 4058 Basel",,47.5702203,7.6026203,4001923522,5.5,260m²,64,1,209,1,54,1,15,1,62,1,5,1,1,1,13,1,1,1,3,1,31,1,22,1,31,1,0,0,44,1,555
"Fachstrasse 10A, 8942 Oberrieden",,47.2800669,8.5778404,4002065798,5.5,260m²,8,1,50,1,4,1,3,1,6,1,6,1,0,0,2,1,0,0,2,1,9,1,12,1,9,1,0,0,62,1,173
"Zentralstrasse 7, 5627 Besenbüren",,47.31347199382689,8.343174236937083,4002064944,5.5,260m²,1,1,17,1,1,1,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,2,1,4,1,0,0,11,1,41
"Zentralstrasse 7, 5627 Besenbüren",,47.31347199382689,8.343174236937083,4002064922,5.5,260m²,1,1,17,1,1,1,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,2,1,4,1,0,0,11,1,41
"Zentralstrasse 7, 5627 Besenbüren",,47.31347199382689,8.343174236937083,4002064878,5.5,260m²,1,1,17,1,1,1,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,2,1,4,1,0,0,11,1,41
