address,price,lat,lon,property_id,rooms,area,cafe_count,cafe_present,restaurant_count,restaurant_present,bar_count,bar_present,pub_count,pub_present,fast_food_count,fast_food_present,school_count,school_present,university_count,university_present,library_count,library_present,hospital_count,hospital_present,clinic_count,clinic_present,pharmacy_count,pharmacy_present,bank_count,bank_present,atm_count,atm_present,bus_station_count,bus_station_present,parking_count,parking_present,total_amenities
"Marktstrasse 3, 2540 Grenchen",,47.193697,7.3972052,4002006071,4.0,92m²,3,1,18,1,0,0,2,1,2,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,2,1,0,0,2,1,34
"Vogelwinkel 4B, 6340 Baar",,47.1906121,8.5398663,4002005670,4.0,92m²,5,1,17,1,0,0,1,1,5,1,1,1,0,0,2,1,0,0,0,0,2,1,3,1,6,1,0,0,18,1,60
"Pfirsichstrasse 9, 8006 Zürich",,47.38945525,8.537542392590117,4002002556,4.0,92m²,84,1,231,1,64,1,17,1,113,1,21,1,1,1,11,1,0,0,7,1,19,1,10,1,32,1,0,0,20,1,630
"Schaffhauserstrasse 230 A, 8057 Zürich",,47.402217199999996,8.547022474097131,4002002543,4.0,92m²,19,1,87,1,14,1,2,1,36,1,12,1,3,1,7,1,0,0,3,1,11,1,8,1,15,1,0,0,33,1,250
"Poststrasse 98, 7050 Arosa",,46.780591400000006,9.678568732912016,4002000431,4.0,92m²,1,1,27,1,5,1,2,1,2,1,1,1,0,0,1,1,0,0,0,0,1,1,2,1,4,1,0,0,5,1,51
"Im Bruppach 15, 8703 Erlenbach ZH",,47.3046257,8.609070149999992,4001996340,4.0,92m²,1,1,8,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,3,1,0,0,4,1,20
"Büelstrasse 3, 8863 Buttikon SZ",,47.174651499999996,8.955432471863649,4001995448,4.5,124m²,2,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,13
"Hubelweg 5, 3504 Niederhünigen",,46.87578605,7.638747712829532,4001994870,4.5,124m²,1,1,4,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,1,0,0,0,0,13
"Gutenbergstr. 37, 3011 Bern",,46.9434251,7.434045,4001987280,4.5,124m²,66,1,222,1,48,1,9,1,81,1,12,1,32,1,31,1,1,1,10,1,26,1,17,1,45,1,0,0,27,1,627
"Tellstrasse 26, 3014 Bern",,46.9622983,7.4597325,4001981892,4.5,124m²,14,1,75,1,5,1,2,1,17,1,10,1,0,0,6,1,0,0,0,0,5,1,1,1,10,1,0,0,21,1,166
