property_id,rental_address,amenity_type,amenity_name,lat,lon
4002053937,"Niklaus Konrad-Strasse 4, 4500 Solothurn",restaurant,Trattoria Napoli,47.2045375,7.5362046
4002053937,"Niklaus Konrad-Strasse 4, 4500 Solothurn",restaurant,Notausgang,47.2044483,7.5363896
4002053937,"Niklaus Konrad-Strasse 4, 4500 Solothurn",restaurant,Adler,47.2047763,7.5361643
4002053937,"Niklaus Konrad-Strasse 4, 4500 Solothurn",restaurant,Sonne,47.2047854,7.5363896
4002053937,"Niklaus Konrad-Strasse 4, 4500 Solothurn",restaurant,Vini-Al Grappolo,47.2049778,7.5368094
4002053937,"Niklaus Konrad-Strasse 4, 4500 Solothurn",pub,Steinbock,47.2046387,7.5379426
4002053937,"Niklaus Konrad-Strasse 4, 4500 Solothurn",restaurant,Fragale,47.2046861,7.5375537
4002053937,"Niklaus Konrad-Strasse 4, 4500 Solothurn",restaurant,Fu-Lin,47.2037603,7.5390531
4002053937,"Niklaus Konrad-Strasse 4, 4500 Solothurn",restaurant,Thai Sunshine,47.2047013,7.5364428
4002053937,"Niklaus Konrad-Strasse 4, 4500 Solothurn",cafe,Steiner,47.2049949,7.5407086
4002053937,"Niklaus Konrad-Strasse 4, 4500 Solothurn",parking,n/a,47.2037855,7.5398567
4002053937,"Niklaus Konrad-Strasse 4, 4500 Solothurn",school,Kaufmännische Berufsschule,47.2049253,7.5382655
4002053937,"Niklaus Konrad-Strasse 4, 4500 Solothurn",fast_food,Metro Pizza,47.2051584,7.5409779
4002053937,"Niklaus Konrad-Strasse 4, 4500 Solothurn",fast_food,Amun Take-Away,47.2049508,7.540494
4002053937,"Niklaus Konrad-Strasse 4, 4500 Solothurn",restaurant,Thung Thong,47.2047057,7.537415
4002053937,"Niklaus Konrad-Strasse 4, 4500 Solothurn",restaurant,così Ristorante & Pizzeria,47.2047969,7.5370633
4002053937,"Niklaus Konrad-Strasse 4, 4500 Solothurn",atm,n/a,47.2042566,7.5387939
4002053937,"Niklaus Konrad-Strasse 4, 4500 Solothurn",restaurant,Solo Fresh & fast Crispy Chicken,47.2041652,7.5388339
4002053937,"Niklaus Konrad-Strasse 4, 4500 Solothurn",restaurant,Mezami,47.2046585,7.5376996
4002038494,"Sägestr. 78, 3098 Köniz",restaurant,Migros Restaurant,46.9235585,7.4144033
4002038494,"Sägestr. 78, 3098 Köniz",pharmacy,Amavita,46.923288,7.4140898
4002038494,"Sägestr. 78, 3098 Köniz",cafe,Das Scherzhaus,46.9234687,7.4146314
4002038494,"Sägestr. 78, 3098 Köniz",restaurant,Sternen,46.9226143,7.4142513
4002038494,"Sägestr. 78, 3098 Köniz",library,PTT-Archiv,46.9240144,7.4140105
4002038494,"Sägestr. 78, 3098 Köniz",cafe,Dany’s Bar & Bistro,46.922331,7.4124333
4002038494,"Sägestr. 78, 3098 Köniz",atm,n/a,46.9234902,7.4143417
4002038494,"Sägestr. 78, 3098 Köniz",fast_food,Swiss Güggeli,46.922862,7.4147256
4002038494,"Sägestr. 78, 3098 Köniz",restaurant,Indian Kitchen,46.9215285,7.4122292
4002037903,"Hermann-Lienhardstrasse, 2502 Biel, 2504 Biel",atm,BEKB BCBE,47.1524659,7.266587
4002037903,"Hermann-Lienhardstrasse, 2502 Biel, 2504 Biel",restaurant,n/a,47.1526499,7.2671404
4002037903,"Hermann-Lienhardstrasse, 2502 Biel, 2504 Biel",atm,n/a,47.1525492,7.2669467
4002037903,"Hermann-Lienhardstrasse, 2502 Biel, 2504 Biel",pharmacy,Dr. Hysek,47.1525027,7.2669534
4002037903,"Hermann-Lienhardstrasse, 2502 Biel, 2504 Biel",restaurant,Rebstock,47.1551243,7.2698734
4002037903,"Hermann-Lienhardstrasse, 2502 Biel, 2504 Biel",restaurant,zur Brücke,47.1542232,7.2683482
4002037903,"Hermann-Lienhardstrasse, 2502 Biel, 2504 Biel",restaurant,Restaurant Bierhalle,47.1521732,7.2665735
4002037903,"Hermann-Lienhardstrasse, 2502 Biel, 2504 Biel",cafe,Café Timeout,47.1525745,7.2670361
4001516464,"Schwendetalstrasse 13, 9057 Schwende",bank,Appenzeller Kantonalbank,47.3087582,9.4345514
4001516464,"Schwendetalstrasse 13, 9057 Schwende",atm,n/a,47.3088175,9.4345899
4001516464,"Schwendetalstrasse 13, 9057 Schwende",clinic,Klinik im Hof Nachbehandlungszentrum,47.3094656,9.4331366
4001516464,"Schwendetalstrasse 13, 9057 Schwende",restaurant,Schotte-Sepp-Stube / Flickflauder,47.3093527,9.433226
4002075486,"Hubenstrasse 19, 8057 Zürich",restaurant,Apollo Taverna,47.4040325,8.5571397
4002070837,"11 rue neuve du Molard, 1204 Genève",cafe,Le Comptoir Woodward,46.2034133,6.148715
4002066542,"Kirchgasse 4, 8524 Uesslingen",atm,n/a,47.5796405,8.8336299
4002066542,"Kirchgasse 4, 8524 Uesslingen",restaurant,Frohsinn,47.580425,8.8315183
4002065355,"Sonneggstr. 41, 8006 Zürich",restaurant,Ristorante Culmann,47.3794422,8.5470198
4002065355,"Sonneggstr. 41, 8006 Zürich",restaurant,La Fontana,47.3797201,8.5469255
4002065355,"Sonneggstr. 41, 8006 Zürich",restaurant,Restaurant Haldenbach,47.3799672,8.5469246
