price,area,food_beverage_present,education_present,healthcare_present,financial_services_present,transportation_present
2610,38.0,3,0,1,2,2
2610,38.0,3,0,1,2,2
2610,38.0,4,0,1,1,0
2610,38.0,5,0,0,2,0
2610,38.0,3,1,0,0,1
2730,121.0,1,0,0,0,0
2730,121.0,1,0,0,0,0
2730,121.0,4,0,0,0,1
2730,121.0,1,0,0,0,1
2730,121.0,3,0,1,1,1
2730,121.0,0,0,0,0,1
2730,121.0,1,0,0,2,1
2730,121.0,1,0,0,1,0
2730,121.0,1,0,0,0,0
2730,121.0,0,0,0,0,1
2730,121.0,2,1,0,0,1
2730,121.0,0,1,0,0,0
2730,121.0,2,0,1,2,0
2310,96.0,1,1,0,0,0
2310,96.0,2,1,0,0,0
2310,96.0,0,0,0,2,0
2310,96.0,1,0,0,0,0
2310,96.0,3,0,0,0,0
2310,96.0,0,1,0,0,0
2310,96.0,0,1,0,0,0
2310,96.0,0,0,0,0,1
2310,96.0,1,0,0,0,0
2310,96.0,4,0,1,1,2
2310,96.0,1,0,0,0,1
2310,96.0,1,0,2,1,0
2310,96.0,5,1,0,0,1
2310,96.0,3,0,0,0,0
4690,220.0,1,0,0,0,0
4690,220.0,2,1,0,0,0
4690,220.0,1,0,0,0,0
4690,220.0,0,0,1,0,1
4690,220.0,0,0,0,1,0
4690,220.0,1,0,0,0,1
5390,300.0,1,0,0,0,1
5390,300.0,3,0,0,1,1
5390,300.0,0,0,0,0,1
5390,300.0,5,0,0,1,0
5390,300.0,2,0,0,1,1
5390,300.0,1,0,0,1,1
5390,300.0,1,1,0,0,1
5390,300.0,0,1,0,0,0
5390,300.0,4,0,1,0,0
5390,300.0,1,0,0,0,0
5390,300.0,3,0,0,0,0
2130,85.0,2,0,0,0,0
2130,85.0,0,0,0,1,0
2130,85.0,0,0,0,0,1
2130,85.0,4,1,1,2,1
2130,85.0,2,0,0,0,0
2130,85.0,2,0,1,0,1
2130,85.0,2,0,0,0,0
2130,85.0,0,0,0,0,1
2130,85.0,2,0,1,1,0
2460,118.0,0,0,0,1,1
2460,118.0,1,0,0,0,0
2460,118.0,1,0,0,1,0
2460,118.0,1,0,0,0,0
2460,118.0,3,0,0,0,0
2460,118.0,2,1,0,0,0
2460,118.0,1,1,1,1,1
4340,220.0,0,0,0,0,1
4340,220.0,3,0,0,1,0
4340,220.0,2,0,1,0,0
4340,220.0,1,0,0,0,0
4340,220.0,1,0,0,0,0
4340,220.0,2,0,0,0,1
4340,220.0,2,0,1,1,1
4340,220.0,1,0,0,0,0
4340,220.0,0,0,0,0,1
4340,220.0,1,0,0,0,1
4340,220.0,1,0,0,0,0
4340,220.0,1,0,0,0,0
4340,220.0,1,1,0,1,0
4340,220.0,1,0,0,0,0
2520,140.0,1,0,0,0,0
2520,140.0,2,2,0,0,0
2520,140.0,5,1,1,0,0
2520,140.0,0,0,1,1,1
2520,140.0,1,0,0,0,0
2520,140.0,1,0,0,1,0
2520,140.0,3,0,1,0,0
3920,122.0,2,0,1,0,0
3920,122.0,3,0,0,1,0
3920,122.0,0,1,0,0,0
3920,122.0,3,0,1,0,0
3920,122.0,1,1,1,1,1
3920,122.0,1,0,0,2,0
3920,122.0,1,0,0,0,1
