address,price,lat,lon,property_id,rooms,area,cafe_count,cafe_present,restaurant_count,restaurant_present,bar_count,bar_present,pub_count,pub_present,fast_food_count,fast_food_present,school_count,school_present,university_count,university_present,library_count,library_present,hospital_count,hospital_present,clinic_count,clinic_present,pharmacy_count,pharmacy_present,bank_count,bank_present,atm_count,atm_present,bus_station_count,bus_station_present,parking_count,parking_present,total_amenities
"Götzstrasse 19, 8006 Zürich",3480,47.50421768757507,8.73037396724648,4002064450,4.5,117.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Thurgauerstrasse 107, 8152 Opfikon",3480,47.42274065,8.557988986206166,4002009558,4.5,117.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8640 Rapperswil,3480,47.22682681254579,8.82190953580586,4001936608,4.5,117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2
"Widenplatz 12, 5070 Frick",3480,47.5073889,8.022840880760747,4001871601,4.5,117.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,4
8640 Rapperswil,3480,47.22682681254579,8.82190953580586,4001936613,4.5,117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2
"Langenthalstrasse 7, 4932 Lotzwil",3480,47.19164585,7.789602654279017,4002002619,4.5,117.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Hubelstrasse 1B, 5524 Niederwil AG",2490,47.379645800000006,8.294397749999996,4002066177,4.5,108.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Brückenmoosstrasse 21, 3942 Raron",2490,46.3087427,7.7956291,4001067447,4.5,108.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"Viale Stazione 21, 6500 Bellinzona",2490,46.192673,9.0247308,4002053901,4.5,108.0,0,0,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,8
"Doktorsträssli 5a, 4704 Niederbipp",2490,47.27176935,7.692159349387261,4001668356,4.5,108.0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Bartholoméplatz 3, 7310 Bad Ragaz",2490,47.00311185,9.501156906929587,4001980329,4.5,108.0,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,2,1,13
"Gerbergasse 70, 4001 Basel",3590,47.5553964,7.5887611,4001669765,5.5,170.0,4,1,12,1,3,1,1,1,4,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,28
"Oltenstrasse 5, 4536 Attiswil",3590,47.24733975,7.614345777672844,4002051404,5.5,170.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Via alla Bozzoreda 37, 6963 Pregassona",3590,46.0195093,8.9727665,4002053900,5.5,170.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Via San Gottardo 58a, 6500 Bellinzona",3590,46.201208300000005,9.0328184,4002038666,5.5,170.0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Frank-Buchserstrasse 3, 4532 Feldbrunnen",3590,47.2198489,7.5552774,4002038659,5.5,170.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Leutschenbachstrasse 50/50a, 8050 Zürich",3590,47.41698710277659,8.556155144939847,4002002549,5.5,170.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Viale Stazione 21, 6500 Bellinzona",3590,46.192673,9.0247308,4001980280,5.5,170.0,0,0,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,8
"Via Sasso Corbaro 19, 6593 Cadenazzo",3590,46.1513709,8.9444258,4001904514,5.5,170.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"Niederfeldstrasse 8, 8932 Mettmenstetten",2030,47.24654755,8.46642889948233,4001836955,5.0,140.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Schwaderloch 7, 8253 Diessenhofen",2030,47.6902444,8.751494199917264,4001797428,5.0,140.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Langenhagweg 7, 4123 Allschwil",2030,47.5481697,7.5546643,4001669464,5.0,140.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
"Via Sasso Corbaro 17, 6593 Cadenazzo",2030,46.1513709,8.9444258,4001668528,5.0,140.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"Hauptstrasse 119, 4102 Binningen",2030,47.5382215,7.5721395,4002050661,5.0,140.0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Avenue Beauregard 2, 1700 Fribourg",2030,46.8019815,7.148923834893623,4002039926,5.0,140.0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Via Ghiringhelli 27 a, 6500 Bellinzona",2030,46.18717845,9.016370013509558,4002038664,5.0,140.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Stengelmattstrasse 24, 6252 Dagmersellen",2590,47.2130905,7.983813114006721,4002009638,5.5,122.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
"Küchengasse 16, 4051 Basel",2590,47.5485517,7.5889376,4002009504,5.5,122.0,4,1,1,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,10
"Wartenweilerweg 3, 9214 Kradolf-Schönenberg",2590,47.52572055,9.202142495289774,4001996813,5.5,122.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Via alla Bozzoreda 37, 6963 Pregassona",2590,46.0195093,8.9727665,4001980272,5.5,122.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Paracelsusstrasse 63, 4058 Basel",2590,47.5659154,7.6115288,4001794440,5.5,122.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"Haltingerstr. 78, 4057 Basel",2590,47.5661802,7.5958747,4001793291,5.5,122.0,0,0,3,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Wylerstrasse 115, 3014 Bern",3270,46.9614166,7.4471717,4002073453,4.5,128.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
"Burgdorfstrasse 13, 3422 Alchenflüh",3270,47.081564150000005,7.5817915,4002071006,4.5,128.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Redingstrasse 24, 4052 Basel",3270,47.54671,7.6201878,4002047930,4.5,128.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Rue de Romont 1, 1700 Fribourg",3270,46.8049405,7.1552585,4002039930,4.5,128.0,2,1,6,1,3,1,0,0,2,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,2,1,18
"Rue Jacques-Vogt 2, 1700 Fribourg",3270,46.799118,7.1532811,4002039925,4.5,128.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,5
"Chemin des Grands-Pins 2, 2000 Neuchâtel",3270,46.99772462006891,6.93381776677924,4001867848,4.5,128.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Rue Adrien-Pichard 2, 1003 Lausanne",3480,46.5222215,6.630389990562497,4001847621,4.0,120.0,4,1,7,1,2,1,0,0,12,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,29
"Truttikerstrasse 19, 8475 Ossingen",3480,47.613678750000005,8.725939259196991,4002081184,4.0,120.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Wilfriedstrasse 7, 8032 Zürich",3480,47.3700424,8.554653802798512,4002078663,4.0,120.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3
"Husächerstr. 5, 8907 Wettswil",3480,47.34076515,8.47290759882921,4002075419,4.0,120.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Wylerstrasse 115, 3014 Bern",3480,46.9614166,7.4471717,4002073382,4.0,120.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
"Hammerstrasse 92, 4057 Basel",3480,47.5646568,7.5957185,4002073335,4.0,120.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Rue Daubin 4, 1203 Genève",3480,46.2058238,6.1294096,4002070191,4.0,120.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
