address,price,lat,lon,property_id,rooms,area,cafe_count,cafe_present,restaurant_count,restaurant_present,bar_count,bar_present,pub_count,pub_present,fast_food_count,fast_food_present,school_count,school_present,university_count,university_present,library_count,library_present,hospital_count,hospital_present,clinic_count,clinic_present,pharmacy_count,pharmacy_present,bank_count,bank_present,atm_count,atm_present,bus_station_count,bus_station_present,parking_count,parking_present,total_amenities
"Baselstrasse 47, 4500 Solothurn",3250,47.2121206,7.5451733,4001899051,5.5,150.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Chemin de Cuard 2, 2022 Bevaix",3250,46.9319525,6.8128406,4001891329,5.5,150.0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,6
"Rue Auguste-Quiquerez 16, 2800 Delémont",3250,47.3673684,7.3582787,4001886594,5.5,150.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
"Militärstrasse 106, 8004 Zürich",3250,47.3792981,8.528828562868632,4001886453,5.5,150.0,1,1,15,1,17,1,5,1,9,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,2,1,0,0,0,0,52
"Poststrasse 19, 2504 Biel/Bienne",3250,47.14728622331503,7.275375239295418,4000806194,5.5,150.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Place du Bourg-de-Four, 1204 Genève",3250,46.2009088,6.1495952,4002063419,5.5,150.0,6,1,12,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,23
"Chemin de Bonne-Espérance, 1006 Lausanne",3250,46.5137693,6.64813095,4002061790,5.5,150.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Route des Arsenaux, 1700 Fribourg",3250,46.80234615042749,7.151277144027662,4002059774,5.5,150.0,0,0,1,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,7
"Maurerweg 12, 2503 Biel",3250,47.1339541,7.2557085,4002038113,5.5,150.0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,8
"Wankdorffeldstrasse 103, 3014 Bern",3250,46.9645669,7.4576422,4002023693,5.5,150.0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Seestrasse 136-142, 8707 Uetikon am See",3250,47.2600708,8.6734324,4002003227,5.5,150.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,3
"Rue Charles-Giron 14, 1203 Genève",3250,46.2062582,6.1287819,4001991978,5.5,150.0,1,1,4,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Rue Rousseau, 1201 Genève",5950,46.2071402,6.143698,4001913747,5.5,150.0,7,1,5,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,1,1,21
"Schulstrasse 31, 4132 Muttenz",5950,47.5266272,7.648421209118317,4002077169,5.5,150.0,0,0,2,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,0,0,0,0,8
"Poststrasse 31, 8957 Spreitenbach",5950,47.42050555,8.361766678327186,4002066308,5.5,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
