address,price,lat,lon,property_id,rooms,area,cafe_count,cafe_present,restaurant_count,restaurant_present,bar_count,bar_present,pub_count,pub_present,fast_food_count,fast_food_present,school_count,school_present,university_count,university_present,library_count,library_present,hospital_count,hospital_present,clinic_count,clinic_present,pharmacy_count,pharmacy_present,bank_count,bank_present,atm_count,atm_present,bus_station_count,bus_station_present,parking_count,parking_present,total_amenities
"Schwendetalstrasse 13, 9057 Schwende",7980,47.30717810735074,9.435084607601722,4001516464,5.5,260.0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,2,1,8
"Hubenstrasse 19, 8057 Zürich",6700,47.4034427,8.559250955954088,4002075486,6.5,170.0,1,1,22,1,1,1,1,1,2,1,3,1,0,0,2,1,0,0,0,0,4,1,2,1,4,1,0,0,6,1,48
"11 rue neuve du Molard, 1204 Genève",6700,46.2033385,6.1491184,4002070837,6.5,170.0,9,1,39,1,3,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0,2,1,3,1,1,1,0,0,4,1,67
"Kirchgasse 4, 8524 Uesslingen",6700,47.5800216,8.829747663121518,4002066542,6.5,170.0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,5
"Sonneggstr. 41, 8006 Zürich",6700,47.380462,8.545837108916057,4002065355,6.5,170.0,20,1,63,1,2,1,1,1,17,1,10,1,1,1,12,1,0,0,0,0,5,1,2,1,7,1,0,0,4,1,144
"Bifitstrasse 80, 3145 Niederscherli",6700,46.88167965,7.382850310572916,4002065312,6.5,170.0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2,1,0,0,0,0,8
"Talstrasse 23, 4112 Flüh",6700,47.4860836,7.498951124978069,4002060877,6.5,170.0,2,1,5,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,12
"Oberdorfgasse 39, 4107 Ettingen",6700,47.4762327,7.5453864,4002060876,6.5,170.0,0,0,4,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,3,1,1,1,0,0,0,0,11
"Untere Grundgasse 11, 9500 Wil SG",6700,47.471886989331885,9.057533759287113,4002055241,6.5,170.0,4,1,27,1,4,1,1,1,1,1,3,1,0,0,3,1,0,0,0,0,3,1,7,1,5,1,0,0,1,1,59
"Centralstrasse 25, 2540 Grenchen",6700,47.19389355,7.395187744893286,4002038690,6.5,170.0,3,1,24,1,0,0,2,1,2,1,2,1,0,0,2,1,0,0,1,1,1,1,2,1,2,1,0,0,3,1,44
"Im Heugarten 47, 8617 Mönchaltorf",6700,47.3090093,8.725236969259775,4002038572,6.5,170.0,1,1,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,9
"Saumackerstrasse 28, 8048 Zürich",6700,47.3887156,8.488407815217391,4002021063,6.5,170.0,13,1,46,1,2,1,1,1,28,1,9,1,0,0,1,1,0,0,1,1,5,1,6,1,9,1,0,0,14,1,135
"Seestrasse 51, 8805 Richterswil",6700,47.2124572,8.702375165932201,4002012549,6.5,170.0,5,1,24,1,3,1,1,1,6,1,1,1,0,0,1,1,0,0,1,1,3,1,2,1,6,1,0,0,11,1,64
"Seestrasse 623, 8706 Meilen",6700,47.267748350000005,8.642523801279976,4002007176,6.5,170.0,0,0,4,1,1,1,0,0,3,1,2,1,0,0,0,0,0,0,0,0,3,1,4,1,2,1,0,0,3,1,22
"Föhrlibuckstrasse 7, 8304 Wallisellen",6700,47.409209700000005,8.603307650000005,4002002381,6.5,170.0,8,1,26,1,2,1,1,1,12,1,2,1,0,0,1,1,0,0,1,1,4,1,4,1,15,1,0,0,7,1,83
"Schlösslistrasse 13, 8044 Zürich",6700,47.385263,8.556671469917257,4001994154,6.5,170.0,3,1,3,1,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,5,1,18
"Via Capriccio 16, 6855 Stabio",6700,45.848677963641954,8.933513949249786,4001986951,6.5,170.0,0,0,4,1,4,1,0,0,1,1,0,0,0,0,2,1,0,0,1,1,3,1,2,1,1,1,0,0,0,0,18
"Sonneggstr. 41, 8006 Zürich",6700,47.380462,8.545837108916057,4001983883,6.5,170.0,20,1,63,1,2,1,1,1,17,1,10,1,1,1,12,1,0,0,0,0,5,1,2,1,7,1,0,0,4,1,144
"Underem Berg 9, 8475 Ossingen",6700,47.61406635,8.722711651898727,4001978739,6.5,170.0,1,1,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,1,10
"Route de Cossonay 57, 1008 Prilly",6700,46.5371779,6.601186397571567,4001978380,6.5,170.0,0,0,5,1,1,1,0,0,5,1,0,0,0,0,1,1,0,0,1,1,2,1,2,1,1,1,0,0,2,1,20
"Hauptstrasse 24, 8114 Dänikon ZH",6700,47.4460003,8.406764497030906,4001972093,6.5,170.0,1,1,8,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,3,1,17
"Siewerdtstrasse 75, 8050 Zürich",2750,47.41222707079166,8.554573319832105,4001964230,2.5,33.0,12,1,45,1,12,1,2,1,17,1,4,1,2,1,2,1,0,0,1,1,3,1,5,1,6,1,0,0,22,1,133
